	content	language
0	"Foi laureada com o Prémio Princesa das Astúrias de   na categoria Cooperação Internacional. O júri refere que ""figura entre os dez sites mais visitados do mundo,   tem crescido continuamente  , incluíndo um número de línguas indígenas.   exemplo importante de cooperação internacional, democrática, aberta e participatória  .  A Wikipédia também tem sido utilizada como fonte no jornalismo,  muitas vezes sem atribuição, sendo que vários jornalistas foram demitidos por plagiar a Wikipédia.    Em julho de  , a Wikipédia foi foco de um documentário de   minutos da BBC Radio    que argumentava que, com o aumento do uso, o número de referências da Wikipédia na cultura popular é tal que o termo é um membro do grupo de marcas do século XXI que são tão familiares   que já"	pt
1	"não precisam de explicações e estão a par com termos do século XX como Hoovering ou Coca-Cola.Páginas fortemente atacadas, artigos em particular, podem ser semiprotegidos de modo que apenas usuários registrados estabelecidos possam editá-los,  ou para casos particularmente controversos, bloqueios podem ser usados para que apenas os administradores sejam capazes de fazer edições. Tal bloqueio é aplicado com moderação, geralmente apenas por curtos períodos de tempo, enquanto os ataques parecerem propensos a continuar. O processo de atualização da Wikipédia não é apenas diário: ocorre a qualquer instante, muitas vezes em tempo real, no tocante a eventos mais importantes. Sobre isso, a revista Época salienta: ""O verbete sobre a presidente eleita do Chile, Michelle"	pt
2	"Bachelet, trazia a notícia sobre a sua vitória nas eleições momentos após o anúncio oficial"".  É, portanto, uma enciclopédia ""viva"", ""ágil"" e ""pop"". Os fatores consistência e qualidade são constantemente monitorados por wikipedistas mais ativos. Um controle especial registra automaticamente a data e hora de cada última atualização. Quando surgem erros, o tempo médio atual para suas correções é de dois minutos. Graças à colaboração de voluntários, não raro consultores e editores wiki mesclam-se numa só pessoa. Como os interesses das pessoas são variadíssimos, o acervo da Wikipédia abrange várias tribos culturais. Artigos traduzidos representam apenas uma pequena porção de artigos na maioria das edições, em parte porque a tradução automática de artigos não é per"	pt
3	"mitida.  Artigos disponíveis em mais de uma língua podem oferecer links chamados de ""Interwikis"", com ligações para o mesmo artigo em outra língua.Na prática, a Wikipédia é defendida de ataques por vários sistemas e técnicas. Estes incluem páginas onde os usuários podem verificar edições  , programas de computador  , que são cuidadosamente projetados para tentar detectar ataques e corrigi-los automaticamente  , filtros que avisam os usuários sobre fazer indesejáveis edições,  bloqueios sobre a criação de links para sites em particular e bloqueios de edições de contas específicas, endereços de IP ou intervalos de endereços.Em   de setembro de  , o político italiano Franco Grillini levantou uma questão parlamentar com o Ministro dos Recursos e Atividades Culturai"	pt
4	"s sobre a necessidade da liberdade de panorama. Ele disse que a falta de tal liberdade força a Wikipédia, ""o sétimo site mais consultado"", a proibir todas as imagens de edifícios modernos italianos e de obras de arte e que isso era extremamente prejudicial para as receitas turísticas. Várias paródias da Wikipédia foram abertas para inserir falsidades, com características vandalizadoras ou com modificações dos artigos da enciclopédia.A Wikipédia ganhou dois prêmios importantes em maio de  .  O primeiro foi um ""Nica de Outro das Comunidades Digitais"" no concurso anual Prix Ars Electronica, valendo €  .  e um convite para assistir à Cyberarts PAE Festival na Áustria mais tarde naquele ano. O segundo foi o Prêmio Webby para a categoria ""comunidade"".  A Wikipédia ta"	pt
5	"mbém foi indicada para ""Melhores Práticas"" do Webby. Em   de janeiro de  , a Wikipédia também foi premiada com a classificação de quarta melhor marca pelos leitores do brandchannel.com, recebendo  % dos votos, em resposta à pergunta ""Qual marca teve mais impacto em nossas vidas em  ?"" Em julho de  , a BBC Radio   transmitiu uma série de comédia chamada Bigipedia, baseada em um site que era uma paródia da Wikipédia. Alguns dos esboços foram diretamente inspirados na Wikipédia e seus artigos Em sua ideia original, a Wikipédia tinha sido feita para que usuários a lessem e editassem o conteúdo utilizando qualquer navegador de web padrão através de uma conexão de internet fixa. No entanto, o conteúdo da Wikipédia está agora também acessível através da web móvel.Uma"	pt
6	"vez que a Wikipédia é um projeto livre da internet no mundo inteiro, e, portanto, os colaboradores de uma edição podem vir de lugares diferentes e por isso usarem dialetos diferentes  . Estas diferenças podem levar a alguns conflitos sobre diferenças de grafia    ou pontos de vista.  Embora nas várias edições de idiomas sejam mantidas as políticas mundiais, da Wikimedia Foundation, como o ""ponto de vista neutro"", elas divergem em alguns pontos do texto e da prática, principalmente em imagens sem licença livre poderem ou não ser utilizadas sob uma alegação de fair use.   A estrutura aberta da Wikipédia faz com que ela seja um alvo fácil para os trolls, spams e aqueles procuram usar o projeto para espalhar suas ideias.   A adição de spins políticos para artigos d"	pt
7	e organizações, incluindo membros da Câmara dos Representantes dos Estados Unidos e grupos de interesses especiais,  foi observada,  e organizações como a Microsoft têm oferecido incentivos financeiros para trabalhar em certos artigos.  Estas questões foram parodiadas, nomeadamente por Stephen Colbert no The Colbert Report. Por exemplo, em agosto de  , o site WikiScanner começou a rastrear as fontes das alterações feitas na Wikipédia por editores anônimos, sem contas registradas no site. O programa revelou que muitas dessas edições foram feitas por empresas ou agências do governo para alterar o conteúdo de artigos relacionados a eles, seu pessoal ou seu trabalho.  O WikiScanner pode ajudar a evitar que uma organização ou indivíduos editem páginas que não deveri	pt
8	"am. A nova ferramenta virtual indica que usuários de computadores da Agência Central de Inteligência  , do Federal Bureau of Investigation  , do Vaticano, do Partido Trabalhista do Reino Unido, das Organização das Nações Unidas, da Dell Computers, do Walmart, da Microsoft e da Apple,  dentre muitos outros, são responsáveis por edições nos textos do site Wikipedia. Jimmy Wales descreve a Wikipédia como ""um esforço para criar e distribuir uma enciclopédia livre da mais alta qualidade possível para cada pessoa no planeta em sua própria língua"".  Embora cada edição possua funções de línguas mais ou menos independentes, alguns esforços estão sendo feitos para supervisionar todos eles. Eles são coordenados, em parte, pelo Meta-Wiki e pela Wikimedia Foundation  .  Por"	pt
9	exemplo, o Meta-Wiki fornece estatísticas importantes em todas as versões da Wikipédia,  e mantém uma lista dos artigos essenciais, que devem constar em todas as edições do projeto. O acesso à Wikipedia partir de telefones móveis foi possível, já em  , através do Wireless Application Protocol  , através do serviço Wapedia. Em junho de  , a Wikipédia lançou o pt.mobile.wikipedia.org, um site oficial para dispositivos sem fio. Em   um novo serviço móvel foi lançado oficialmente,  localizado em pt.m.wikipedia.org, que atende aos mais avançados dispositivos móveis como o iPhone, dispositivos baseados no Android, ou o Palm Pre. Vários outros métodos de acesso móvel à Wikipédia surgiram. Vários dispositivos e aplicações otimizam ou melhoram a exibição do conteúdo da	pt
10	"Wikipédia para dispositivos móveis, enquanto alguns também incorporam funcionalidades adicionais, tais como o uso de metadados da Wikipédia, como a geoinformação.  O comediante Stephen Colbert citou a Wikipédia em vários episódios de seu programa The Colbert Report e cunhou o termo relacionado wikiality, que significa ""juntos podemos criar uma realidade que todos nós concordamos"".  Outro exemplo pode ser encontrado em um artigo de primeira página do The Onion em julho de  , com o título ""Wikipedia comemora   anos de Independência americana"".  Outros brincam com o lema da Wikipédia, como em ""The Negotiation"", em um episódio de The Office, onde o personagem Michael Scott diz:""... Wikipedia é a melhor coisa que qualquer pessoa no mundo pode escrever o que quiser"	pt
11	"sobre qualquer assunto, para que você saiba que você está recebendo a melhor informação possível"". ""My Number One Doctor"", em um episódio de   do programa de TV Scrubs, também satirizou a dependência da Wikipédia sobre editores que editam os artigos da cultura erudita e pop, em uma cena em que Dr. Perry Cox reage a um paciente que diz que um artigo da Wikipédia indica que o crudivorismo reverte os efeitos da tumor ósseo por autoclavagem e que o mesmo editor que escreveu que o artigo também escreveu a lista de episódios de Battlestar Galactica.  Em um episódio de   Rock, Pete e Frank adicionam informações sem sentido para a página Janis Joplin da Wikipédia depois de Jenna dizer que ela deveria procurá-la para saber mais sobre ela, pois, uma vez que a Wikipédia p"	pt
12	"oderia ser editada por qualquer pessoa, foi a pesquisa mais informativa, pois eles descobrem mais a cada dia. Em   de setembro de  , o The Washington Post informou que a Wikipédia se tornou um ponto focal na eleições dos EUA de  , dizendo: ""Digite o nome do candidato no Google e dentre os primeiros resultados estará uma página da Wikipédia, tornando-a, sem dúvida, tão importante quanto qualquer anúncio na definição de um candidato. Enquanto os artigos dos presidenciais estão sendo editados e debatidos inúmeras vezes a cada dia."" Além do crescimento logístico do número de seus artigos,  a Wikipédia tem conquistado status como um site de referência geral desde a sua criação em  .  De acordo com o Alexa e o comScore, a Wikipédia está entre os dez websites mais vis"	pt
13	"itados do mundo.   O crescimento da Wikipédia tem sido alimentado por sua posição dominante no resultado de buscas do Google;  cerca de  % do tráfego de motores de buscas para a Wikipédia vem do Google,  boa parte do que está relacionado com a pesquisa acadêmica.  O número de leitores da Wikipédia em todo o mundo atingiu a marca de   milhões no final de  .  O Pew Research Center e o projeto ""American Life"" constatou que um terço dos usuários da Internet dos Estados Unidos consultam a Wikipédia.  Em outubro de  , o valor de mercado hipotético do site era estimado em   milhões de dólares se ele publicasse anúncios. A Wikipédia também gerou vários projetos irmãos, que são executados pela Wikimedia Foundation. O primeiro, ""Em Memória:   de setembro Wiki"",  criado e"	pt
14	m outubro de  ,  falava sobre os Ataques de   de setembro de  ; este projeto foi inativado em outubro de  . O Wikcionário, dicionário eletrônico de conteúdo livre, foi lançado em dezembro de  ;  O Wikiquote, uma coleção de citações, foi criado uma semana depois do lançamento da Wikimedia; e ainda há o Wikilivros, uma coleção de livros e textos escritos de forma colaborativa. A Wikimedia, desde então, começou uma série de outros projetos, incluindo o Wikimedia Commons, um site multimídia dedicado ao conhecimento livre; o Wikinotícias, para o jornalismo, e a Wikiversidade, um projeto para a criação materiais de aprendizagem e da prestação de atividades de aprendizagem online.  Destes, apenas o Commons tem tido um sucesso comparável ao da Wikipédia.  % dos usuário	pt
15	s registrados nunca fazem outra edição após as suas primeiras   horas. Possíveis explicações para esse fenômeno são que tais usuários só se inscrevem para uma única finalidade ou são assustados por suas experiências.  Goldman escreve que os editores que não cumprem os rituais culturais da Wikipédia, como a assinatura de páginas de discussão, implicitamente dão sinais de que eles são estranhos na comunidade, aumentando as chances de que usuários experientes da Wikipédia tenham como alvo as suas contribuições. Tornar-se um editor experiente da Wikipédia envolve desafios não triviais; o contribuinte deverá construir uma página de usuário, aprender os códigos tecnológicos específicos da Wikipédia, submeter-se a um processo misterioso de resolução de disputas e apre	pt
16	"nder uma cultura ""desconcertantemente rica em piadas internas e referências privilegiadas."" Usuários não registrados são, em algum sentido, cidadãos de segunda classe na Wikipédia,  visto que os ""participantes são credenciados por membros da comunidade wiki, que têm interesse em preservar a qualidade do produto do trabalho, com base em sua participação em curso,""  mas as contribuições de endereços de IP podem não necessariamente serem creditadas a um usuário em particular.Visto que os contribuintes normalmente reescrevem pequenas porções de um verbete ao invés de fazer grandes revisões em todo o texto, num mesmo artigo pode coexistir conteúdo de alta e de baixa qualidade. Os críticos argumentam que, por vezes, edições de não-especialistas minam a qualidade. Por"	pt
17	"exemplo, Roy Rosenzweig, em um ensaio de junho de   que combinou tanto elogios como reparos à Wikipédia, teceu várias críticas à sua prosa e sua incapacidade de distinguir o que de fato é importante do meramente sensacional. Ele disse que a Wikipédia é ""surpreendentemente precisa em relatar nomes, datas e acontecimentos da história dos Estados Unidos""   e que a maioria dos poucos erros factuais que ele encontrou ""eram pequenos e negligenciáveis"", acrescentando que alguns deles ""simplesmente repetiam crenças divulgadas amplamente, porém imprecisas"", que também são repetidas nas enciclopédias Encarta e na Britannica. No entanto, ele fez uma crítica importante:O problema de privacidade na Wikipédia envolve o direito de um cidadão de permanecer privado, continuar"	pt
18	"a ser um ""cidadão"" em vez de uma ""figura pública"" aos olhos da lei. É uma espécie de batalha entre o direito de ser anônimo no ciberespaço e o direito de ser anônimo na vida real. O Wikipedia Watch afirma que ""a Wikipédia é uma ameaça potencial a qualquer pessoa que valorize a vida privada"" e que ""um maior grau de responsabilidade na estrutura da Wikipédia"" seria ""o primeiro passo para solucionar o problema da privacidade"". Em abril de   Larry Sanger escreveu uma carta para o Federal Bureau of Investigation, destacando sua preocupação por duas categorias de imagens na Wikipédia conterem pornografia infantil, violando a lei federal sobre obscenidade dos EUA.  Sanger mais tarde esclareceu que as imagens, que eram relativas à pedofilia e uma sobre lolicon, não era"	pt
19	"m fotos de crianças verdadeiras, mas disse que eram ""representações visuais obscenas do abuso sexual de crianças"", nos termos do PROTECT Act de  . Essa lei proíbe a pornografia infantil fotográfica e as imagens em desenhos animados e quadrinhos que são consideradas obscenas pela legislação americana.  Sanger também expressou preocupações sobre o acesso em escolas às imagens da Wikipédia.  A Wikipédia rejeitou enfaticamente a acusação de Sanger.  O porta-voz da Wikimedia Foundation, Jay Walsh, disse que a Wikipédia não possui ""material que consideremos ilegal. Se tivéssemos, seria removido.""  Na sequência da queixa apresentada por Larry Sanger, Wales excluíu imagens sexuais sem consultar a comunidade. Depois que alguns editores argumentaram que a decisão de excl"	pt
20	"uí-las foi tomada demasiado às pressas, Wales voluntariamente renunciou a alguns dos poderes que detinha por seu estatuto de cofundador. Ele escreveu em uma mensagem enviada à lista de correio da Wikimedia Foundation que agira assim ""no interesse de encorajar que esta discussão seja sobre questões reais de filosofia e conteúdo, ao invés de ser sobre mim e sobre a rapidez com que eu agi"". Em   de agosto de  , uma matéria do portal de O Globo  afirmou que um dispositivo conectado à internet através da rede sem fio do Palácio do Planalto alterou, em maio de  , informações das páginas de Miriam e Carlos Alberto Sardenberg na Wikipédia, com o objetivo de difamá-los. As informações inseridas no artigo de Miriam qualificavam suas análises e previsões econômicas como """	pt
